id,name,description,price,image,category,requiresPrescription,stock,salt,manufacturer,mrp,discount,isOTC
"prod_12","Voveran 20mg Batch 12","Voveran 20mg Batch 12 contains Cefixime. Premium quality medicine.",507,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Cefixime","Swastik Pharma Labs",608,0,false
"prod_13","Zerodol 40mg Batch 13","Zerodol 40mg Batch 13 contains Diclofenac. Premium quality medicine.",608,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Diclofenac","Swastik Pharma Labs",729,14,true
"prod_14","Acenac 500mg Batch 14","Acenac 500mg Batch 14 contains Sitagliptin. Premium quality medicine.",600,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Sitagliptin","Swastik Pharma Labs",720,12,true
"prod_15","Crocin 40mg Batch 15","Crocin 40mg Batch 15 contains Cefixime. Premium quality medicine.",511,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Cefixime","Swastik Pharma Labs",613,21,true
"prod_16","Pan 650mg Batch 16","Pan 650mg Batch 16 contains Amoxicillin. Premium quality medicine.",186,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Amoxicillin","Swastik Pharma Labs",223,5,true
"prod_17","Acenac 250mg Batch 17","Acenac 250mg Batch 17 contains Cefixime. Premium quality medicine.",300,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Cefixime","Swastik Pharma Labs",360,17,true
"prod_18","Acenac 650mg Batch 18","Acenac 650mg Batch 18 contains Pantoprazole. Premium quality medicine.",706,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Antibiotics",true,100,"Pantoprazole","Swastik Pharma Labs",847,13,false
"prod_19","Dynapar 10mg Batch 19","Dynapar 10mg Batch 19 contains Amoxicillin. Premium quality medicine.",199,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Antibiotics",true,100,"Amoxicillin","Swastik Pharma Labs",238,22,false
"prod_20","Dynapar 20mg Batch 20","Dynapar 20mg Batch 20 contains Cetirizine. Premium quality medicine.",806,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Cetirizine","Swastik Pharma Labs",967,16,true
"prod_21","Zerodol 250mg Batch 21","Zerodol 250mg Batch 21 contains Dapagliflozin. Premium quality medicine.",225,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Dapagliflozin","Swastik Pharma Labs",270,5,false
"prod_22","Crocin 400mg Batch 22","Crocin 400mg Batch 22 contains Sitagliptin. Premium quality medicine.",160,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Sitagliptin","Swastik Pharma Labs",192,1,true
"prod_23","Dynapar 200mg Batch 23","Dynapar 200mg Batch 23 contains Aceclofenac. Premium quality medicine.",240,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Antibiotics",true,100,"Aceclofenac","Swastik Pharma Labs",288,16,false
"prod_24","Voveran 20mg Batch 24","Voveran 20mg Batch 24 contains Metformin. Premium quality medicine.",356,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Metformin","Swastik Pharma Labs",427,2,true
"prod_25","Dynapar 200mg Batch 25","Dynapar 200mg Batch 25 contains Aceclofenac. Premium quality medicine.",420,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Aceclofenac","Swastik Pharma Labs",504,13,false
"prod_26","Dynapar 200mg Batch 26","Dynapar 200mg Batch 26 contains Cetirizine. Premium quality medicine.",40,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Cetirizine","Swastik Pharma Labs",48,14,true
"prod_27","Calpol 650mg Batch 27","Calpol 650mg Batch 27 contains Ibuprofen. Premium quality medicine.",168,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Ibuprofen","Swastik Pharma Labs",201,2,true
"prod_28","Dolo 200mg Batch 28","Dolo 200mg Batch 28 contains Dapagliflozin. Premium quality medicine.",809,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Antibiotics",true,100,"Dapagliflozin","Swastik Pharma Labs",970,19,false
"prod_29","Zyrtec 250mg Batch 29","Zyrtec 250mg Batch 29 contains Glimepiride. Premium quality medicine.",718,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Glimepiride","Swastik Pharma Labs",861,15,true
"prod_30","Hifenac 200mg Batch 30","Hifenac 200mg Batch 30 contains Glimepiride. Premium quality medicine.",410,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Glimepiride","Swastik Pharma Labs",492,0,false
"prod_31","Okacet 10mg Batch 31","Okacet 10mg Batch 31 contains Cefixime. Premium quality medicine.",116,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Cefixime","Swastik Pharma Labs",139,19,false
"prod_32","Dolo 500mg Batch 32","Dolo 500mg Batch 32 contains Ibuprofen. Premium quality medicine.",131,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Ibuprofen","Swastik Pharma Labs",157,21,true
"prod_33","Pantocid 200mg Batch 33","Pantocid 200mg Batch 33 contains Azithromycin. Premium quality medicine.",795,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Azithromycin","Swastik Pharma Labs",954,5,false
"prod_34","Zerodol 200mg Batch 34","Zerodol 200mg Batch 34 contains Amoxicillin. Premium quality medicine.",530,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Amoxicillin","Swastik Pharma Labs",636,10,true
"prod_35","Pantocid 400mg Batch 35","Pantocid 400mg Batch 35 contains Ibuprofen. Premium quality medicine.",352,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Ibuprofen","Swastik Pharma Labs",422,7,true
"prod_36","Crocin 100mg Batch 36","Crocin 100mg Batch 36 contains Pantoprazole. Premium quality medicine.",126,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Pantoprazole","Swastik Pharma Labs",151,7,false
"prod_37","Voveran 20mg Batch 37","Voveran 20mg Batch 37 contains Cefixime. Premium quality medicine.",503,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Cefixime","Swastik Pharma Labs",603,3,true
"prod_38","Voveran 400mg Batch 38","Voveran 400mg Batch 38 contains Pantoprazole. Premium quality medicine.",343,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Pantoprazole","Swastik Pharma Labs",411,11,false
"prod_39","Zyrtec 100mg Batch 39","Zyrtec 100mg Batch 39 contains Paracetamol. Premium quality medicine.",430,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Paracetamol","Swastik Pharma Labs",516,7,true
"prod_40","Dolo 40mg Batch 40","Dolo 40mg Batch 40 contains Vildagliptin. Premium quality medicine.",329,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Vildagliptin","Swastik Pharma Labs",394,23,false
"prod_41","Brufen 100mg Batch 41","Brufen 100mg Batch 41 contains Aceclofenac. Premium quality medicine.",814,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Aceclofenac","Swastik Pharma Labs",976,11,true
"prod_42","Dolo 500mg Batch 42","Dolo 500mg Batch 42 contains Azithromycin. Premium quality medicine.",649,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Azithromycin","Swastik Pharma Labs",778,23,true
"prod_43","Okacet 40mg Batch 43","Okacet 40mg Batch 43 contains Paracetamol. Premium quality medicine.",159,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Paracetamol","Swastik Pharma Labs",190,21,true
"prod_44","Dolo 20mg Batch 44","Dolo 20mg Batch 44 contains Teneligliptin. Premium quality medicine.",465,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Teneligliptin","Swastik Pharma Labs",558,16,false
"prod_45","Dolo 500mg Batch 45","Dolo 500mg Batch 45 contains Amoxicillin. Premium quality medicine.",621,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Amoxicillin","Swastik Pharma Labs",745,6,true
"prod_46","Zerodol 40mg Batch 46","Zerodol 40mg Batch 46 contains Paracetamol. Premium quality medicine.",71,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Paracetamol","Swastik Pharma Labs",85,5,true
"prod_47","Cetzine 200mg Batch 47","Cetzine 200mg Batch 47 contains Dapagliflozin. Premium quality medicine.",708,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Dapagliflozin","Swastik Pharma Labs",849,12,true
"prod_48","Zyrtec 500mg Batch 48","Zyrtec 500mg Batch 48 contains Pantoprazole. Premium quality medicine.",80,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Antibiotics",true,100,"Pantoprazole","Swastik Pharma Labs",96,24,false
"prod_49","Dolo 400mg Batch 49","Dolo 400mg Batch 49 contains Sitagliptin. Premium quality medicine.",30,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Sitagliptin","Swastik Pharma Labs",36,18,true
"prod_50","Calpol 40mg Batch 50","Calpol 40mg Batch 50 contains Azithromycin. Premium quality medicine.",426,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Azithromycin","Swastik Pharma Labs",511,19,false
"prod_51","Crocin 250mg Batch 51","Crocin 250mg Batch 51 contains Cefixime. Premium quality medicine.",470,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Cefixime","Swastik Pharma Labs",564,9,true
"prod_52","Dynapar 250mg Batch 52","Dynapar 250mg Batch 52 contains Aceclofenac. Premium quality medicine.",387,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Aceclofenac","Swastik Pharma Labs",464,8,false
"prod_53","Voveran 10mg Batch 53","Voveran 10mg Batch 53 contains Teneligliptin. Premium quality medicine.",111,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Teneligliptin","Swastik Pharma Labs",133,17,true
"prod_54","Dolo 20mg Batch 54","Dolo 20mg Batch 54 contains Amoxicillin. Premium quality medicine.",446,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Amoxicillin","Swastik Pharma Labs",535,2,false
"prod_55","Dynapar 400mg Batch 55","Dynapar 400mg Batch 55 contains Cefixime. Premium quality medicine.",248,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Cefixime","Swastik Pharma Labs",297,21,true
"prod_56","Crocin 40mg Batch 56","Crocin 40mg Batch 56 contains Ibuprofen. Premium quality medicine.",137,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Ibuprofen","Swastik Pharma Labs",164,8,true
"prod_57","Voveran 400mg Batch 57","Voveran 400mg Batch 57 contains Ibuprofen. Premium quality medicine.",432,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Ibuprofen","Swastik Pharma Labs",518,18,false
"prod_58","Combiflam 40mg Batch 58","Combiflam 40mg Batch 58 contains Azithromycin. Premium quality medicine.",233,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Azithromycin","Swastik Pharma Labs",279,10,true
"prod_59","Dynapar 400mg Batch 59","Dynapar 400mg Batch 59 contains Pantoprazole. Premium quality medicine.",346,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Pantoprazole","Swastik Pharma Labs",415,5,true
"prod_60","Dynapar 40mg Batch 60","Dynapar 40mg Batch 60 contains Cefixime. Premium quality medicine.",297,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Cefixime","Swastik Pharma Labs",356,2,true
"prod_61","Brufen 650mg Batch 61","Brufen 650mg Batch 61 contains Vildagliptin. Premium quality medicine.",579,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Vildagliptin","Swastik Pharma Labs",694,0,false
"prod_62","Dynapar 500mg Batch 62","Dynapar 500mg Batch 62 contains Vildagliptin. Premium quality medicine.",313,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Antibiotics",true,100,"Vildagliptin","Swastik Pharma Labs",375,10,false
"prod_63","Pan 200mg Batch 63","Pan 200mg Batch 63 contains Aceclofenac. Premium quality medicine.",300,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Aceclofenac","Swastik Pharma Labs",360,7,true
"prod_64","Crocin 100mg Batch 64","Crocin 100mg Batch 64 contains Amoxicillin. Premium quality medicine.",594,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Amoxicillin","Swastik Pharma Labs",712,24,false
"prod_65","Cetzine 650mg Batch 65","Cetzine 650mg Batch 65 contains Paracetamol. Premium quality medicine.",408,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Antibiotics",true,100,"Paracetamol","Swastik Pharma Labs",489,6,false
"prod_66","Okacet 10mg Batch 66","Okacet 10mg Batch 66 contains Metformin. Premium quality medicine.",377,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Metformin","Swastik Pharma Labs",452,0,true
"prod_67","Calpol 400mg Batch 67","Calpol 400mg Batch 67 contains Dapagliflozin. Premium quality medicine.",405,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Dapagliflozin","Swastik Pharma Labs",486,1,true
"prod_68","Acenac 20mg Batch 68","Acenac 20mg Batch 68 contains Cetirizine. Premium quality medicine.",751,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Cetirizine","Swastik Pharma Labs",901,6,false
"prod_69","Cetzine 250mg Batch 69","Cetzine 250mg Batch 69 contains Paracetamol. Premium quality medicine.",252,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Paracetamol","Swastik Pharma Labs",302,2,true
"prod_70","Pantocid 10mg Batch 70","Pantocid 10mg Batch 70 contains Dapagliflozin. Premium quality medicine.",480,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Dapagliflozin","Swastik Pharma Labs",576,15,true
"prod_71","Pan 200mg Batch 71","Pan 200mg Batch 71 contains Cefixime. Premium quality medicine.",493,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Cefixime","Swastik Pharma Labs",591,8,true
"prod_72","Brufen 10mg Batch 72","Brufen 10mg Batch 72 contains Cetirizine. Premium quality medicine.",380,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Antibiotics",true,100,"Cetirizine","Swastik Pharma Labs",456,7,false
"prod_73","Zyrtec 10mg Batch 73","Zyrtec 10mg Batch 73 contains Ibuprofen. Premium quality medicine.",249,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Ibuprofen","Swastik Pharma Labs",298,13,true
"prod_74","Combiflam 400mg Batch 74","Combiflam 400mg Batch 74 contains Teneligliptin. Premium quality medicine.",616,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Teneligliptin","Swastik Pharma Labs",739,21,false
"prod_75","Zerodol 20mg Batch 75","Zerodol 20mg Batch 75 contains Cetirizine. Premium quality medicine.",577,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Cetirizine","Swastik Pharma Labs",692,24,true
"prod_76","Hifenac 250mg Batch 76","Hifenac 250mg Batch 76 contains Cefixime. Premium quality medicine.",551,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Cefixime","Swastik Pharma Labs",661,20,true
"prod_77","Combiflam 200mg Batch 77","Combiflam 200mg Batch 77 contains Vildagliptin. Premium quality medicine.",727,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Antibiotics",true,100,"Vildagliptin","Swastik Pharma Labs",872,20,false
"prod_78","Pantocid 400mg Batch 78","Pantocid 400mg Batch 78 contains Sitagliptin. Premium quality medicine.",334,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Sitagliptin","Swastik Pharma Labs",400,19,true
"prod_79","Acenac 20mg Batch 79","Acenac 20mg Batch 79 contains Cetirizine. Premium quality medicine.",776,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Cetirizine","Swastik Pharma Labs",931,3,true
"prod_80","Cetzine 650mg Batch 80","Cetzine 650mg Batch 80 contains Sitagliptin. Premium quality medicine.",247,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Sitagliptin","Swastik Pharma Labs",296,11,true
"prod_81","Cetzine 20mg Batch 81","Cetzine 20mg Batch 81 contains Aceclofenac. Premium quality medicine.",765,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Aceclofenac","Swastik Pharma Labs",918,0,false
"prod_82","Calpol 650mg Batch 82","Calpol 650mg Batch 82 contains Glimepiride. Premium quality medicine.",325,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Glimepiride","Swastik Pharma Labs",390,4,true
"prod_83","Zyrtec 40mg Batch 83","Zyrtec 40mg Batch 83 contains Teneligliptin. Premium quality medicine.",552,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Teneligliptin","Swastik Pharma Labs",662,18,true
"prod_84","Calpol 40mg Batch 84","Calpol 40mg Batch 84 contains Glimepiride. Premium quality medicine.",396,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Glimepiride","Swastik Pharma Labs",475,18,true
"prod_85","Okacet 650mg Batch 85","Okacet 650mg Batch 85 contains Glimepiride. Premium quality medicine.",697,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Glimepiride","Swastik Pharma Labs",836,6,true
"prod_86","Pantocid 400mg Batch 86","Pantocid 400mg Batch 86 contains Cefixime. Premium quality medicine.",23,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Cefixime","Swastik Pharma Labs",27,5,true
"prod_87","Calpol 200mg Batch 87","Calpol 200mg Batch 87 contains Amoxicillin. Premium quality medicine.",777,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Amoxicillin","Swastik Pharma Labs",932,13,true
"prod_88","Pan 500mg Batch 88","Pan 500mg Batch 88 contains Azithromycin. Premium quality medicine.",146,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Azithromycin","Swastik Pharma Labs",175,17,true
"prod_89","Calpol 10mg Batch 89","Calpol 10mg Batch 89 contains Cefixime. Premium quality medicine.",329,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Cefixime","Swastik Pharma Labs",394,10,false
"prod_90","Combiflam 100mg Batch 90","Combiflam 100mg Batch 90 contains Amoxicillin. Premium quality medicine.",495,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Antibiotics",true,100,"Amoxicillin","Swastik Pharma Labs",594,7,false
"prod_91","Pan 250mg Batch 91","Pan 250mg Batch 91 contains Cefixime. Premium quality medicine.",191,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Antibiotics",true,100,"Cefixime","Swastik Pharma Labs",229,5,false
"prod_92","Cetzine 20mg Batch 92","Cetzine 20mg Batch 92 contains Paracetamol. Premium quality medicine.",769,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Paracetamol","Swastik Pharma Labs",922,16,true
"prod_93","Okacet 40mg Batch 93","Okacet 40mg Batch 93 contains Pantoprazole. Premium quality medicine.",118,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Pantoprazole","Swastik Pharma Labs",141,0,true
"prod_94","Pantocid 650mg Batch 94","Pantocid 650mg Batch 94 contains Paracetamol. Premium quality medicine.",566,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Paracetamol","Swastik Pharma Labs",679,8,true
"prod_95","Hifenac 250mg Batch 95","Hifenac 250mg Batch 95 contains Metformin. Premium quality medicine.",46,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Metformin","Swastik Pharma Labs",55,0,true
"prod_96","Cetzine 400mg Batch 96","Cetzine 400mg Batch 96 contains Ibuprofen. Premium quality medicine.",812,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Ibuprofen","Swastik Pharma Labs",974,13,true
"prod_97","Hifenac 40mg Batch 97","Hifenac 40mg Batch 97 contains Teneligliptin. Premium quality medicine.",643,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Teneligliptin","Swastik Pharma Labs",771,9,true
